np_previous_word,np_one_word,np_one_word_next,np_two_word,np_two_word_next,np_three_word,np_three_word_next
pine,to,aggravate,"('to', 'aggravate')",thy,"('to', 'aggravate', 'thy')",store;
to,aggravate,thy,"('aggravate', 'thy')",store;,"('aggravate', 'thy', 'store;')","
"
aggravate,thy,store;,"('thy', 'store;')","
","
","
"
thy,store;,"
","
","
","
","
"
"
",buy,terms,"('buy', 'terms')",divine,"('buy', 'terms', 'divine')",in
buy,terms,divine,"('terms', 'divine')",in,"('terms', 'divine', 'in')",selling
terms,divine,in,"('divine', 'in')",selling,"('divine', 'in', 'selling')",hours
divine,in,selling,"('in', 'selling')",hours,"('in', 'selling', 'hours')",of
in,selling,hours,"('selling', 'hours')",of,"('selling', 'hours', 'of')",dross;
selling,hours,of,"('hours', 'of')",dross;,"('hours', 'of', 'dross;')","
"
hours,of,dross;,"('of', 'dross;')","
","
","
"
of,dross;,"
","
","
","
","
"
"
",within,be,"('within', 'be')",fed,"('within', 'be', 'fed')",
within,be,fed,"('be', 'fed')",,"('be', 'fed', '')",without
be,fed,,"('fed', '')",without,"('fed', '', 'without')",be
fed,,without,"('', 'without')",be,"('', 'without', 'be')",rich
,without,be,"('without', 'be')",rich,"('without', 'be', 'rich')",no
without,be,rich,"('be', 'rich')",no,"('be', 'rich', 'no')",more
be,rich,no,"('rich', 'no')",more,"('rich', 'no', 'more')",
rich,no,more,"('no', 'more')",,"('no', 'more', '')","
"
no,more,,"('more', '')","
","
","
"
more,,"
","
","
","
","
"
"
",,,"('', '')",so,"('', '', 'so')",shalt
,,so,"('', 'so')",shalt,"('', 'so', 'shalt')",thou
,so,shalt,"('so', 'shalt')",thou,"('so', 'shalt', 'thou')",feed
so,shalt,thou,"('shalt', 'thou')",feed,"('shalt', 'thou', 'feed')",on
shalt,thou,feed,"('thou', 'feed')",on,"('thou', 'feed', 'on')",death
thou,feed,on,"('feed', 'on')",death,"('feed', 'on', 'death')",
feed,on,death,"('on', 'death')",,"('on', 'death', '')",that
on,death,,"('death', '')",that,"('death', '', 'that')",feeds
death,,that,"('', 'that')",feeds,"('', 'that', 'feeds')",on
,that,feeds,"('that', 'feeds')",on,"('that', 'feeds', 'on')",men
that,feeds,on,"('feeds', 'on')",men,"('feeds', 'on', 'men')",
feeds,on,men,"('on', 'men')",,"('on', 'men', '')","
"
"
",,,"('', '')",and,"('', '', 'and')",death
,,and,"('', 'and')",death,"('', 'and', 'death')",once
,and,death,"('and', 'death')",once,"('and', 'death', 'once')",dead
and,death,once,"('death', 'once')",dead,"('death', 'once', 'dead')",
death,once,dead,"('once', 'dead')",,"('once', 'dead', '')",there's
once,dead,,"('dead', '')",there's,"('dead', '', ""there's"")",no
dead,,there's,"('', ""there's"")",no,"('', ""there's"", 'no')",more
,there's,no,"(""there's"", 'no')",more,"(""there's"", 'no', 'more')",dying
there's,no,more,"('no', 'more')",dying,"('no', 'more', 'dying')",then
no,more,dying,"('more', 'dying')",then,"('more', 'dying', 'then')",
more,dying,then,"('dying', 'then')",,"('dying', 'then', '')","
"
"
",my,love,"('my', 'love')",is,"('my', 'love', 'is')",as
my,love,is,"('love', 'is')",as,"('love', 'is', 'as')",a
love,is,as,"('is', 'as')",a,"('is', 'as', 'a')",fever
is,as,a,"('as', 'a')",fever,"('as', 'a', 'fever')",
as,a,fever,"('a', 'fever')",,"('a', 'fever', '')",longing
a,fever,,"('fever', '')",longing,"('fever', '', 'longing')",still
fever,,longing,"('', 'longing')",still,"('', 'longing', 'still')","
"
,longing,still,"('longing', 'still')","
","
","
"
longing,still,"
","
","
","
","
"
"
",for,that,"('for', 'that')",which,"('for', 'that', 'which')",longer
for,that,which,"('that', 'which')",longer,"('that', 'which', 'longer')",nurseth
that,which,longer,"('which', 'longer')",nurseth,"('which', 'longer', 'nurseth')",the
which,longer,nurseth,"('longer', 'nurseth')",the,"('longer', 'nurseth', 'the')",disease
longer,nurseth,the,"('nurseth', 'the')",disease,"('nurseth', 'the', 'disease')",
nurseth,the,disease,"('the', 'disease')",,"('the', 'disease', '')","
"
the,disease,,"('disease', '')","
","
","
"
disease,,"
","
","
","
","
"
"
",feeding,on,"('feeding', 'on')",that,"('feeding', 'on', 'that')",which
feeding,on,that,"('on', 'that')",which,"('on', 'that', 'which')",doth
on,that,which,"('that', 'which')",doth,"('that', 'which', 'doth')",preserve
that,which,doth,"('which', 'doth')",preserve,"('which', 'doth', 'preserve')",the
which,doth,preserve,"('doth', 'preserve')",the,"('doth', 'preserve', 'the')",ill
doth,preserve,the,"('preserve', 'the')",ill,"('preserve', 'the', 'ill')",
preserve,the,ill,"('the', 'ill')",,"('the', 'ill', '')","
"
the,ill,,"('ill', '')","
","
","
"
ill,,"
","
","
","
","
"
"
",the,uncertain,"('the', 'uncertain')",sickly,"('the', 'uncertain', 'sickly')",appetite
the,uncertain,sickly,"('uncertain', 'sickly')",appetite,"('uncertain', 'sickly', 'appetite')",to
uncertain,sickly,appetite,"('sickly', 'appetite')",to,"('sickly', 'appetite', 'to')",please
sickly,appetite,to,"('appetite', 'to')",please,"('appetite', 'to', 'please')",
appetite,to,please,"('to', 'please')",,"('to', 'please', '')","
"
to,please,,"('please', '')","
","
","
"
please,,"
","
","
","
","
"
"
",my,reason,"('my', 'reason')",,"('my', 'reason', '')",the
my,reason,,"('reason', '')",the,"('reason', '', 'the')",physician
reason,,the,"('', 'the')",physician,"('', 'the', 'physician')",to
,the,physician,"('the', 'physician')",to,"('the', 'physician', 'to')",my
the,physician,to,"('physician', 'to')",my,"('physician', 'to', 'my')",love
physician,to,my,"('to', 'my')",love,"('to', 'my', 'love')",
to,my,love,"('my', 'love')",,"('my', 'love', '')","
"
my,love,,"('love', '')","
","
","
"
love,,"
","
","
","
","
"
"
",angry,that,"('angry', 'that')",his,"('angry', 'that', 'his')",prescriptions
angry,that,his,"('that', 'his')",prescriptions,"('that', 'his', 'prescriptions')",are
that,his,prescriptions,"('his', 'prescriptions')",are,"('his', 'prescriptions', 'are')",not
his,prescriptions,are,"('prescriptions', 'are')",not,"('prescriptions', 'are', 'not')",kept
prescriptions,are,not,"('are', 'not')",kept,"('are', 'not', 'kept')",
are,not,kept,"('not', 'kept')",,"('not', 'kept', '')","
"
not,kept,,"('kept', '')","
","
","
"
kept,,"
","
","
","
","
"
"
",hath,left,"('hath', 'left')",me,"('hath', 'left', 'me')",
hath,left,me,"('left', 'me')",,"('left', 'me', '')",and
left,me,,"('me', '')",and,"('me', '', 'and')",i
me,,and,"('', 'and')",i,"('', 'and', 'i')",desperate
,and,i,"('and', 'i')",desperate,"('and', 'i', 'desperate')",now
and,i,desperate,"('i', 'desperate')",now,"('i', 'desperate', 'now')",approve
i,desperate,now,"('desperate', 'now')",approve,"('desperate', 'now', 'approve')","
"
desperate,now,approve,"('now', 'approve')","
","
","
"
now,approve,"
","
","
","
","
"
"
",desire,is,"('desire', 'is')",death,"('desire', 'is', 'death')",
desire,is,death,"('is', 'death')",,"('is', 'death', '')",which
is,death,,"('death', '')",which,"('death', '', 'which')",physic
death,,which,"('', 'which')",physic,"('', 'which', 'physic')",did
,which,physic,"('which', 'physic')",did,"('which', 'physic', 'did')",except
which,physic,did,"('physic', 'did')",except,"('physic', 'did', 'except')",
physic,did,except,"('did', 'except')",,"('did', 'except', '')","
"
did,except,,"('except', '')","
","
","
"
except,,"
","
","
","
","
"
"
",past,cure,"('past', 'cure')",i,"('past', 'cure', 'i')",am
past,cure,i,"('cure', 'i')",am,"('cure', 'i', 'am')",
cure,i,am,"('i', 'am')",,"('i', 'am', '')",now
i,am,,"('am', '')",now,"('am', '', 'now')",reason
am,,now,"('', 'now')",reason,"('', 'now', 'reason')",is
,now,reason,"('now', 'reason')",is,"('now', 'reason', 'is')",past
now,reason,is,"('reason', 'is')",past,"('reason', 'is', 'past')",care
reason,is,past,"('is', 'past')",care,"('is', 'past', 'care')",
is,past,care,"('past', 'care')",,"('past', 'care', '')","
"
past,care,,"('care', '')","
","
","
"
care,,"
","
","
","
","
"
"
",and,frantic,"('and', 'frantic')",mad,"('and', 'frantic', 'mad')",with
and,frantic,mad,"('frantic', 'mad')",with,"('frantic', 'mad', 'with')",evermore
frantic,mad,with,"('mad', 'with')",evermore,"('mad', 'with', 'evermore')",unrest;
mad,with,evermore,"('with', 'evermore')",unrest;,"('with', 'evermore', 'unrest;')","
"
with,evermore,unrest;,"('evermore', 'unrest;')","
","
","
"
evermore,unrest;,"
","
","
","
","
"
"
",my,thoughts,"('my', 'thoughts')",and,"('my', 'thoughts', 'and')",my
my,thoughts,and,"('thoughts', 'and')",my,"('thoughts', 'and', 'my')",discourse
thoughts,and,my,"('and', 'my')",discourse,"('and', 'my', 'discourse')",as
and,my,discourse,"('my', 'discourse')",as,"('my', 'discourse', 'as')",madmen's
my,discourse,as,"('discourse', 'as')",madmen's,"('discourse', 'as', ""madmen's"")",are
discourse,as,madmen's,"('as', ""madmen's"")",are,"('as', ""madmen's"", 'are')",
as,madmen's,are,"(""madmen's"", 'are')",,"(""madmen's"", 'are', '')","
"
madmen's,are,,"('are', '')","
","
","
"
are,,"
","
","
","
","
"
"
",at,random,"('at', 'random')",from,"('at', 'random', 'from')",the
at,random,from,"('random', 'from')",the,"('random', 'from', 'the')",truth
random,from,the,"('from', 'the')",truth,"('from', 'the', 'truth')",vainly
from,the,truth,"('the', 'truth')",vainly,"('the', 'truth', 'vainly')",express'd;
the,truth,vainly,"('truth', 'vainly')",express'd;,"('truth', 'vainly', ""express'd;"")","
"
truth,vainly,express'd;,"('vainly', ""express'd;"")","
","
","
"
vainly,express'd;,"
","
","
","
","
"
"
",,,"('', '')",for,"('', '', 'for')",i
,,for,"('', 'for')",i,"('', 'for', 'i')",have
,for,i,"('for', 'i')",have,"('for', 'i', 'have')",sworn
for,i,have,"('i', 'have')",sworn,"('i', 'have', 'sworn')",thee
i,have,sworn,"('have', 'sworn')",thee,"('have', 'sworn', 'thee')",fair
have,sworn,thee,"('sworn', 'thee')",fair,"('sworn', 'thee', 'fair')",and
sworn,thee,fair,"('thee', 'fair')",and,"('thee', 'fair', 'and')",thought
thee,fair,and,"('fair', 'and')",thought,"('fair', 'and', 'thought')",thee
fair,and,thought,"('and', 'thought')",thee,"('and', 'thought', 'thee')",bright
and,thought,thee,"('thought', 'thee')",bright,"('thought', 'thee', 'bright')",
thought,thee,bright,"('thee', 'bright')",,"('thee', 'bright', '')","
"
"
",,,"('', '')",who,"('', '', 'who')",art
,,who,"('', 'who')",art,"('', 'who', 'art')",as
,who,art,"('who', 'art')",as,"('who', 'art', 'as')",black
who,art,as,"('art', 'as')",black,"('art', 'as', 'black')",as
art,as,black,"('as', 'black')",as,"('as', 'black', 'as')",hell
as,black,as,"('black', 'as')",hell,"('black', 'as', 'hell')",
black,as,hell,"('as', 'hell')",,"('as', 'hell', '')",as
as,hell,,"('hell', '')",as,"('hell', '', 'as')",dark
hell,,as,"('', 'as')",dark,"('', 'as', 'dark')",as
,as,dark,"('as', 'dark')",as,"('as', 'dark', 'as')",night
as,dark,as,"('dark', 'as')",night,"('dark', 'as', 'night')",
dark,as,night,"('as', 'night')",,"('as', 'night', '')","
"
"
",o,me,"('o', 'me')",,"('o', 'me', '')",what
o,me,,"('me', '')",what,"('me', '', 'what')",eyes
me,,what,"('', 'what')",eyes,"('', 'what', 'eyes')",hath
,what,eyes,"('what', 'eyes')",hath,"('what', 'eyes', 'hath')",love
what,eyes,hath,"('eyes', 'hath')",love,"('eyes', 'hath', 'love')",put
eyes,hath,love,"('hath', 'love')",put,"('hath', 'love', 'put')",in
hath,love,put,"('love', 'put')",in,"('love', 'put', 'in')",my
love,put,in,"('put', 'in')",my,"('put', 'in', 'my')",head
put,in,my,"('in', 'my')",head,"('in', 'my', 'head')",
in,my,head,"('my', 'head')",,"('my', 'head', '')","
"
my,head,,"('head', '')","
","
","
"
head,,"
","
","
","
","
"
"
",which,have,"('which', 'have')",no,"('which', 'have', 'no')",correspondence
which,have,no,"('have', 'no')",correspondence,"('have', 'no', 'correspondence')",with
have,no,correspondence,"('no', 'correspondence')",with,"('no', 'correspondence', 'with')",true
no,correspondence,with,"('correspondence', 'with')",true,"('correspondence', 'with', 'true')",sight!
correspondence,with,true,"('with', 'true')",sight!,"('with', 'true', 'sight!')","
"
with,true,sight!,"('true', 'sight!')","
","
","
"
true,sight!,"
","
","
","
","
"
"
",or,,"('or', '')",if,"('or', '', 'if')",they
or,,if,"('', 'if')",they,"('', 'if', 'they')",have
,if,they,"('if', 'they')",have,"('if', 'they', 'have')",
if,they,have,"('they', 'have')",,"('they', 'have', '')",where
they,have,,"('have', '')",where,"('have', '', 'where')",is
have,,where,"('', 'where')",is,"('', 'where', 'is')",my
,where,is,"('where', 'is')",my,"('where', 'is', 'my')",judgment
where,is,my,"('is', 'my')",judgment,"('is', 'my', 'judgment')",fled
is,my,judgment,"('my', 'judgment')",fled,"('my', 'judgment', 'fled')",
my,judgment,fled,"('judgment', 'fled')",,"('judgment', 'fled', '')","
"
judgment,fled,,"('fled', '')","
","
","
"
fled,,"
","
","
","
","
"
"
",that,censures,"('that', 'censures')",falsely,"('that', 'censures', 'falsely')",what
that,censures,falsely,"('censures', 'falsely')",what,"('censures', 'falsely', 'what')",they
censures,falsely,what,"('falsely', 'what')",they,"('falsely', 'what', 'they')",see
falsely,what,they,"('what', 'they')",see,"('what', 'they', 'see')",aright?
what,they,see,"('they', 'see')",aright?,"('they', 'see', 'aright?')","
"
they,see,aright?,"('see', 'aright?')","
","
","
"
see,aright?,"
","
","
","
","
"
"
",if,that,"('if', 'that')",be,"('if', 'that', 'be')",fair
if,that,be,"('that', 'be')",fair,"('that', 'be', 'fair')",whereon
that,be,fair,"('be', 'fair')",whereon,"('be', 'fair', 'whereon')",my
be,fair,whereon,"('fair', 'whereon')",my,"('fair', 'whereon', 'my')",false
fair,whereon,my,"('whereon', 'my')",false,"('whereon', 'my', 'false')",eyes
whereon,my,false,"('my', 'false')",eyes,"('my', 'false', 'eyes')",dote
my,false,eyes,"('false', 'eyes')",dote,"('false', 'eyes', 'dote')",
false,eyes,dote,"('eyes', 'dote')",,"('eyes', 'dote', '')","
"
eyes,dote,,"('dote', '')","
","
","
"
dote,,"
","
","
","
","
"
"
",what,means,"('what', 'means')",the,"('what', 'means', 'the')",world
what,means,the,"('means', 'the')",world,"('means', 'the', 'world')",to
means,the,world,"('the', 'world')",to,"('the', 'world', 'to')",say
the,world,to,"('world', 'to')",say,"('world', 'to', 'say')",it
world,to,say,"('to', 'say')",it,"('to', 'say', 'it')",is
to,say,it,"('say', 'it')",is,"('say', 'it', 'is')",not
say,it,is,"('it', 'is')",not,"('it', 'is', 'not')",so?
it,is,not,"('is', 'not')",so?,"('is', 'not', 'so?')","
"
is,not,so?,"('not', 'so?')","
","
","
"
not,so?,"
","
","
","
","
"
"
",if,it,"('if', 'it')",be,"('if', 'it', 'be')",not
if,it,be,"('it', 'be')",not,"('it', 'be', 'not')",
it,be,not,"('be', 'not')",,"('be', 'not', '')",then
be,not,,"('not', '')",then,"('not', '', 'then')",love
not,,then,"('', 'then')",love,"('', 'then', 'love')",doth
,then,love,"('then', 'love')",doth,"('then', 'love', 'doth')",well
then,love,doth,"('love', 'doth')",well,"('love', 'doth', 'well')",denote
love,doth,well,"('doth', 'well')",denote,"('doth', 'well', 'denote')","
"
doth,well,denote,"('well', 'denote')","
","
","
"
well,denote,"
","
","
","
","
"
"
",love's,eye,"(""love's"", 'eye')",is,"(""love's"", 'eye', 'is')",not
love's,eye,is,"('eye', 'is')",not,"('eye', 'is', 'not')",so
eye,is,not,"('is', 'not')",so,"('is', 'not', 'so')",true
is,not,so,"('not', 'so')",true,"('not', 'so', 'true')",as
not,so,true,"('so', 'true')",as,"('so', 'true', 'as')",all
so,true,as,"('true', 'as')",all,"('true', 'as', 'all')",men's
true,as,all,"('as', 'all')",men's,"('as', 'all', ""men's"")",'no
as,all,men's,"('all', ""men's"")",'no,"('all', ""men's"", ""'no"")",'
all,men's,'no,"(""men's"", ""'no"")",',"(""men's"", ""'no"", ""'"")","
"
men's,'no,',"(""'no"", ""'"")","
","
","
"
'no,',"
","
","
","
","
"
"
",how,can,"('how', 'can')",it?,"('how', 'can', 'it?')",o
how,can,it?,"('can', 'it?')",o,"('can', 'it?', 'o')",
can,it?,o,"('it?', 'o')",,"('it?', 'o', '')",how
it?,o,,"('o', '')",how,"('o', '', 'how')",can
o,,how,"('', 'how')",can,"('', 'how', 'can')",love's
,how,can,"('how', 'can')",love's,"('how', 'can', ""love's"")",eye
how,can,love's,"('can', ""love's"")",eye,"('can', ""love's"", 'eye')",be
can,love's,eye,"(""love's"", 'eye')",be,"(""love's"", 'eye', 'be')",true
love's,eye,be,"('eye', 'be')",true,"('eye', 'be', 'true')",
eye,be,true,"('be', 'true')",,"('be', 'true', '')","
"
be,true,,"('true', '')","
","
","
"
true,,"
","
","
","
","
"
"
",that,is,"('that', 'is')",so,"('that', 'is', 'so')",vex'd
that,is,so,"('is', 'so')",vex'd,"('is', 'so', ""vex'd"")",with
is,so,vex'd,"('so', ""vex'd"")",with,"('so', ""vex'd"", 'with')",watching
so,vex'd,with,"(""vex'd"", 'with')",watching,"(""vex'd"", 'with', 'watching')",and
vex'd,with,watching,"('with', 'watching')",and,"('with', 'watching', 'and')",with
with,watching,and,"('watching', 'and')",with,"('watching', 'and', 'with')",tears?
watching,and,with,"('and', 'with')",tears?,"('and', 'with', 'tears?')","
"
and,with,tears?,"('with', 'tears?')","
","
","
"
with,tears?,"
","
","
","
","
"
"
",no,marvel,"('no', 'marvel')",then,"('no', 'marvel', 'then')",
no,marvel,then,"('marvel', 'then')",,"('marvel', 'then', '')",though
marvel,then,,"('then', '')",though,"('then', '', 'though')",i
then,,though,"('', 'though')",i,"('', 'though', 'i')",mistake
,though,i,"('though', 'i')",mistake,"('though', 'i', 'mistake')",my
though,i,mistake,"('i', 'mistake')",my,"('i', 'mistake', 'my')",view;
i,mistake,my,"('mistake', 'my')",view;,"('mistake', 'my', 'view;')","
"
mistake,my,view;,"('my', 'view;')","
","
","
"
my,view;,"
","
","
","
","
"
"
",the,sun,"('the', 'sun')",itself,"('the', 'sun', 'itself')",sees
the,sun,itself,"('sun', 'itself')",sees,"('sun', 'itself', 'sees')",not
sun,itself,sees,"('itself', 'sees')",not,"('itself', 'sees', 'not')",till
itself,sees,not,"('sees', 'not')",till,"('sees', 'not', 'till')",heaven
sees,not,till,"('not', 'till')",heaven,"('not', 'till', 'heaven')",clears
not,till,heaven,"('till', 'heaven')",clears,"('till', 'heaven', 'clears')",
till,heaven,clears,"('heaven', 'clears')",,"('heaven', 'clears', '')","
"
heaven,clears,,"('clears', '')","
","
","
"
clears,,"
","
","
","
","
"
"
",,,"('', '')",o,"('', '', 'o')",cunning
,,o,"('', 'o')",cunning,"('', 'o', 'cunning')",love!
,o,cunning,"('o', 'cunning')",love!,"('o', 'cunning', 'love!')",with
o,cunning,love!,"('cunning', 'love!')",with,"('cunning', 'love!', 'with')",tears
cunning,love!,with,"('love!', 'with')",tears,"('love!', 'with', 'tears')",thou
love!,with,tears,"('with', 'tears')",thou,"('with', 'tears', 'thou')",keep'st
with,tears,thou,"('tears', 'thou')",keep'st,"('tears', 'thou', ""keep'st"")",me
tears,thou,keep'st,"('thou', ""keep'st"")",me,"('thou', ""keep'st"", 'me')",blind
thou,keep'st,me,"(""keep'st"", 'me')",blind,"(""keep'st"", 'me', 'blind')",
keep'st,me,blind,"('me', 'blind')",,"('me', 'blind', '')","
"
me,blind,,"('blind', '')","
","
","
"
"
",,,"('', '')",lest,"('', '', 'lest')",eyes
,,lest,"('', 'lest')",eyes,"('', 'lest', 'eyes')",well
,lest,eyes,"('lest', 'eyes')",well,"('lest', 'eyes', 'well')",seeing
lest,eyes,well,"('eyes', 'well')",seeing,"('eyes', 'well', 'seeing')",thy
eyes,well,seeing,"('well', 'seeing')",thy,"('well', 'seeing', 'thy')",foul
well,seeing,thy,"('seeing', 'thy')",foul,"('seeing', 'thy', 'foul')",faults
seeing,thy,foul,"('thy', 'foul')",faults,"('thy', 'foul', 'faults')",should
thy,foul,faults,"('foul', 'faults')",should,"('foul', 'faults', 'should')",find
foul,faults,should,"('faults', 'should')",find,"('faults', 'should', 'find')",
faults,should,find,"('should', 'find')",,"('should', 'find', '')","
"
should,find,,"('find', '')","
","
","
"
"
",canst,thou,"('canst', 'thou')",,"('canst', 'thou', '')",o
canst,thou,,"('thou', '')",o,"('thou', '', 'o')",cruel!
thou,,o,"('', 'o')",cruel!,"('', 'o', 'cruel!')",say
,o,cruel!,"('o', 'cruel!')",say,"('o', 'cruel!', 'say')",i
o,cruel!,say,"('cruel!', 'say')",i,"('cruel!', 'say', 'i')",love
cruel!,say,i,"('say', 'i')",love,"('say', 'i', 'love')",thee
say,i,love,"('i', 'love')",thee,"('i', 'love', 'thee')",not
i,love,thee,"('love', 'thee')",not,"('love', 'thee', 'not')",
love,thee,not,"('thee', 'not')",,"('thee', 'not', '')","
"
thee,not,,"('not', '')","
","
","
"
not,,"
","
","
","
","
"
"
",when,i,"('when', 'i')",against,"('when', 'i', 'against')",myself
when,i,against,"('i', 'against')",myself,"('i', 'against', 'myself')",with
i,against,myself,"('against', 'myself')",with,"('against', 'myself', 'with')",thee
against,myself,with,"('myself', 'with')",thee,"('myself', 'with', 'thee')",partake?
myself,with,thee,"('with', 'thee')",partake?,"('with', 'thee', 'partake?')","
"
with,thee,partake?,"('thee', 'partake?')","
","
","
"
thee,partake?,"
","
","
","
","
"
"
",do,i,"('do', 'i')",not,"('do', 'i', 'not')",think
do,i,not,"('i', 'not')",think,"('i', 'not', 'think')",on
i,not,think,"('not', 'think')",on,"('not', 'think', 'on')",thee
not,think,on,"('think', 'on')",thee,"('think', 'on', 'thee')",
think,on,thee,"('on', 'thee')",,"('on', 'thee', '')",when
on,thee,,"('thee', '')",when,"('thee', '', 'when')",i
thee,,when,"('', 'when')",i,"('', 'when', 'i')",forgot
,when,i,"('when', 'i')",forgot,"('when', 'i', 'forgot')","
"
when,i,forgot,"('i', 'forgot')","
","
","
"
i,forgot,"
","
","
","
","
"
"
",am,of,"('am', 'of')",myself,"('am', 'of', 'myself')",
am,of,myself,"('of', 'myself')",,"('of', 'myself', '')",all
of,myself,,"('myself', '')",all,"('myself', '', 'all')",tyrant
myself,,all,"('', 'all')",tyrant,"('', 'all', 'tyrant')",
,all,tyrant,"('all', 'tyrant')",,"('all', 'tyrant', '')",for
all,tyrant,,"('tyrant', '')",for,"('tyrant', '', 'for')",thy
tyrant,,for,"('', 'for')",thy,"('', 'for', 'thy')",sake?
,for,thy,"('for', 'thy')",sake?,"('for', 'thy', 'sake?')","
"
for,thy,sake?,"('thy', 'sake?')","
","
","
"
thy,sake?,"
","
","
","
","
"
"
",who,hateth,"('who', 'hateth')",thee,"('who', 'hateth', 'thee')",that
who,hateth,thee,"('hateth', 'thee')",that,"('hateth', 'thee', 'that')",i
hateth,thee,that,"('thee', 'that')",i,"('thee', 'that', 'i')",do
thee,that,i,"('that', 'i')",do,"('that', 'i', 'do')",call
that,i,do,"('i', 'do')",call,"('i', 'do', 'call')",my
i,do,call,"('do', 'call')",my,"('do', 'call', 'my')",friend?
do,call,my,"('call', 'my')",friend?,"('call', 'my', 'friend?')","
"
call,my,friend?,"('my', 'friend?')","
","
","
"
my,friend?,"
","
","
","
","
"
"
",on,whom,"('on', 'whom')",frown'st,"('on', 'whom', ""frown'st"")",thou
on,whom,frown'st,"('whom', ""frown'st"")",thou,"('whom', ""frown'st"", 'thou')",that
whom,frown'st,thou,"(""frown'st"", 'thou')",that,"(""frown'st"", 'thou', 'that')",i
frown'st,thou,that,"('thou', 'that')",i,"('thou', 'that', 'i')",do
thou,that,i,"('that', 'i')",do,"('that', 'i', 'do')",fawn
that,i,do,"('i', 'do')",fawn,"('i', 'do', 'fawn')",upon?
i,do,fawn,"('do', 'fawn')",upon?,"('do', 'fawn', 'upon?')","
"
do,fawn,upon?,"('fawn', 'upon?')","
","
","
"
fawn,upon?,"
","
","
","
","
"
"
",nay,,"('nay', '')",if,"('nay', '', 'if')",thou
nay,,if,"('', 'if')",thou,"('', 'if', 'thou')",lour'st
,if,thou,"('if', 'thou')",lour'st,"('if', 'thou', ""lour'st"")",on
if,thou,lour'st,"('thou', ""lour'st"")",on,"('thou', ""lour'st"", 'on')",me
thou,lour'st,on,"(""lour'st"", 'on')",me,"(""lour'st"", 'on', 'me')",
lour'st,on,me,"('on', 'me')",,"('on', 'me', '')",do
on,me,,"('me', '')",do,"('me', '', 'do')",i
me,,do,"('', 'do')",i,"('', 'do', 'i')",not
,do,i,"('do', 'i')",not,"('do', 'i', 'not')",spend
do,i,not,"('i', 'not')",spend,"('i', 'not', 'spend')","
"
i,not,spend,"('not', 'spend')","
","
","
"
not,spend,"
","
","
","
","
"
"
",revenge,upon,"('revenge', 'upon')",myself,"('revenge', 'upon', 'myself')",with
revenge,upon,myself,"('upon', 'myself')",with,"('upon', 'myself', 'with')",present
upon,myself,with,"('myself', 'with')",present,"('myself', 'with', 'present')",moan?
myself,with,present,"('with', 'present')",moan?,"('with', 'present', 'moan?')","
"
with,present,moan?,"('present', 'moan?')","
","
","
"
present,moan?,"
","
","
","
","
"
"
",what,merit,"('what', 'merit')",do,"('what', 'merit', 'do')",i
what,merit,do,"('merit', 'do')",i,"('merit', 'do', 'i')",in
merit,do,i,"('do', 'i')",in,"('do', 'i', 'in')",myself
do,i,in,"('i', 'in')",myself,"('i', 'in', 'myself')",respect
i,in,myself,"('in', 'myself')",respect,"('in', 'myself', 'respect')",
in,myself,respect,"('myself', 'respect')",,"('myself', 'respect', '')","
"
myself,respect,,"('respect', '')","
","
","
"
respect,,"
","
","
","
","
"
"
",that,is,"('that', 'is')",so,"('that', 'is', 'so')",proud
that,is,so,"('is', 'so')",proud,"('is', 'so', 'proud')",thy
is,so,proud,"('so', 'proud')",thy,"('so', 'proud', 'thy')",service
so,proud,thy,"('proud', 'thy')",service,"('proud', 'thy', 'service')",to
proud,thy,service,"('thy', 'service')",to,"('thy', 'service', 'to')",despise
thy,service,to,"('service', 'to')",despise,"('service', 'to', 'despise')",
service,to,despise,"('to', 'despise')",,"('to', 'despise', '')","
"
to,despise,,"('despise', '')","
","
","
"
despise,,"
","
","
","
","
"
"
",when,all,"('when', 'all')",my,"('when', 'all', 'my')",best
when,all,my,"('all', 'my')",best,"('all', 'my', 'best')",doth
all,my,best,"('my', 'best')",doth,"('my', 'best', 'doth')",worship
my,best,doth,"('best', 'doth')",worship,"('best', 'doth', 'worship')",thy
best,doth,worship,"('doth', 'worship')",thy,"('doth', 'worship', 'thy')",defect
doth,worship,thy,"('worship', 'thy')",defect,"('worship', 'thy', 'defect')",
worship,thy,defect,"('thy', 'defect')",,"('thy', 'defect', '')","
"
thy,defect,,"('defect', '')","
","
","
"
defect,,"
","
","
","
","
"
"
",commanded,by,"('commanded', 'by')",the,"('commanded', 'by', 'the')",motion
commanded,by,the,"('by', 'the')",motion,"('by', 'the', 'motion')",of
by,the,motion,"('the', 'motion')",of,"('the', 'motion', 'of')",thine
the,motion,of,"('motion', 'of')",thine,"('motion', 'of', 'thine')",eyes?
motion,of,thine,"('of', 'thine')",eyes?,"('of', 'thine', 'eyes?')","
"
of,thine,eyes?,"('thine', 'eyes?')","
","
","
"
thine,eyes?,"
","
","
","
","
"
"
",,,"('', '')",but,"('', '', 'but')",
,,but,"('', 'but')",,"('', 'but', '')",love
,but,,"('but', '')",love,"('but', '', 'love')",
but,,love,"('', 'love')",,"('', 'love', '')",hate
,love,,"('love', '')",hate,"('love', '', 'hate')",on
love,,hate,"('', 'hate')",on,"('', 'hate', 'on')",
